# Gene Family	humann2_Abundance
UNGROUPED	143748.964
GO:0000030	3.474
GO:0000049	764.426
GO:0000077	0.482
GO:0000079	0.01
GO:0000104	8.087
GO:0000105	427.325
GO:0000122	0.339
GO:0000123	0.02
GO:0000150	410.378
GO:0000155	626.428
GO:0000156	4.435
GO:0000160	1112.392
GO:0000162	129.33
GO:0000165	0.401
GO:0000179	55.829
GO:0000228	0.027
GO:0000278	0.692
GO:0000287	1926.957
GO:0000398	0.261
GO:0000413	220.76
GO:0000502	0.595
GO:0000723	5.289
GO:0000724	12.212
GO:0000737	264.784
GO:0000738	60.236
GO:0000746	46.56
GO:0000774	31.553
GO:0000775	0.271
GO:0000776	0.094
GO:0000785	0.08
GO:0000786	1.6
GO:0000904	1.847
GO:0000917	71.384
GO:0000922	0.271
GO:0000956	0.349
GO:0001104	0.011
GO:0001172	0.007
GO:0001558	1.659
GO:0001664	0.094
GO:0001819	0.351
GO:0002009	0.172
GO:0002097	84.445
GO:0002161	225.749
GO:0002237	6.308
GO:0002683	0.094
GO:0002697	0.999
GO:0002757	0.036
GO:0002831	0.431
GO:0002943	52.846
GO:0003002	0.072
GO:0003333	67.889
GO:0003682	1.7
GO:0003684	162.214
GO:0003697	100.577
GO:0003713	1.004
GO:0003725	47.261
GO:0003729	34.29
GO:0003735	1458.582
GO:0003743	80.047
GO:0003746	259.985
GO:0003747	89.524
GO:0003755	220.76
GO:0003779	0.259
GO:0003796	36.016
GO:0003840	0.621
GO:0003848	21.912
GO:0003857	20.782
GO:0003872	150.458
GO:0003886	13.297
GO:0003887	265.189
GO:0003896	233.768
GO:0003906	59.92
GO:0003908	28.974
GO:0003910	20.938
GO:0003917	152.502
GO:0003918	187.057
GO:0003924	490.164
GO:0003933	59.742
GO:0003950	3.502
GO:0003951	99.584
GO:0003964	25.488
GO:0003968	0.007
GO:0003989	97.31
GO:0003993	32.024
GO:0003995	71.661
GO:0004000	59.82
GO:0004003	151.925
GO:0004040	21.187
GO:0004045	53.564
GO:0004047	24.743
GO:0004066	66.771
GO:0004075	24.582
GO:0004077	28.502
GO:0004089	0.023
GO:0004134	61.661
GO:0004140	32.571
GO:0004143	40.144
GO:0004176	46.702
GO:0004177	255.294
GO:0004181	12.444
GO:0004190	87.121
GO:0004222	315.472
GO:0004252	297.649
GO:0004308	11.952
GO:0004315	45.229
GO:0004316	40.672
GO:0004326	64.856
GO:0004356	86.058
GO:0004371	22.424
GO:0004402	2.066
GO:0004427	58.832
GO:0004435	3.433
GO:0004499	0.066
GO:0004514	39.958
GO:0004523	110.093
GO:0004525	80.7
GO:0004526	29.609
GO:0004560	68.711
GO:0004563	93.433
GO:0004565	86.239
GO:0004567	35.87
GO:0004568	5.053
GO:0004594	64.226
GO:0004601	76.497
GO:0004616	26.401
GO:0004645	87.072
GO:0004650	45.302
GO:0004659	85.737
GO:0004702	0.067
GO:0004722	1.092
GO:0004725	54.576
GO:0004733	9.061
GO:0004735	27.55
GO:0004743	52.064
GO:0004747	23.529
GO:0004764	38.843
GO:0004784	14.446
GO:0004789	75.747
GO:0004792	11.01
GO:0004803	261.923
GO:0004806	0.175
GO:0004813	52.417
GO:0004814	63.584
GO:0004826	118.253
GO:0004842	0.212
GO:0004843	0.211
GO:0004852	12.408
GO:0004853	7.008
GO:0005044	0.057
GO:0005125	0.061
GO:0005126	0.062
GO:0005179	0.998
GO:0005247	40.333
GO:0005249	12.416
GO:0005315	105.762
GO:0005328	37.959
GO:0005337	8.127
GO:0005375	5.815
GO:0005402	13.798
GO:0005507	62.933
GO:0005509	38.524
GO:0005516	1.659
GO:0005524	9053.68
GO:0005525	849.526
GO:0005539	1.369
GO:0005576	139.509
GO:0005578	0.599
GO:0005581	12.311
GO:0005615	7.552
GO:0005622	1878.941
GO:0005634	86.827
GO:0005643	0.067
GO:0005654	1.791
GO:0005681	0.505
GO:0005727	121.825
GO:0005730	23.231
GO:0005737	9919.605
GO:0005739	193.037
GO:0005741	1.941
GO:0005743	34.691
GO:0005759	52.906
GO:0005764	2.207
GO:0005768	2.628
GO:0005774	25.552
GO:0005777	15.796
GO:0005783	13.859
GO:0005789	2.463
GO:0005794	11.581
GO:0005813	1.635
GO:0005819	0.303
GO:0005829	215.909
GO:0005840	1635.336
GO:0005852	0.052
GO:0005874	2.683
GO:0005886	2956.148
GO:0005887	96.413
GO:0005912	0.289
GO:0005938	0.092
GO:0005978	190.643
GO:0005992	4.48
GO:0006011	9.286
GO:0006012	142.897
GO:0006013	11.931
GO:0006014	23.865
GO:0006032	5.177
GO:0006071	79.531
GO:0006072	83.965
GO:0006084	154.689
GO:0006094	339.741
GO:0006096	752.421
GO:0006098	278.707
GO:0006099	147.735
GO:0006109	43.921
GO:0006166	154.265
GO:0006167	160.017
GO:0006184	495.164
GO:0006189	373.607
GO:0006200	2092.117
GO:0006207	215.216
GO:0006241	145.074
GO:0006261	177.682
GO:0006265	338.777
GO:0006266	71.588
GO:0006269	242.143
GO:0006270	36.306
GO:0006275	26.744
GO:0006278	25.488
GO:0006282	42.737
GO:0006284	121.242
GO:0006289	70.071
GO:0006298	139.501
GO:0006313	300.705
GO:0006338	0.025
GO:0006342	1.268
GO:0006353	68.621
GO:0006366	0.062
GO:0006388	3.413
GO:0006412	3280.152
GO:0006413	143.995
GO:0006414	263.378
GO:0006415	119.333
GO:0006419	52.417
GO:0006420	63.584
GO:0006432	104.53
GO:0006446	0.052
GO:0006450	229.399
GO:0006465	11.171
GO:0006469	0.167
GO:0006487	1.0
GO:0006506	0.487
GO:0006522	86.405
GO:0006526	399.291
GO:0006529	103.386
GO:0006535	77.935
GO:0006536	168.087
GO:0006541	432.753
GO:0006545	70.874
GO:0006546	78.256
GO:0006558	43.327
GO:0006561	148.009
GO:0006570	27.276
GO:0006596	75.51
GO:0006606	0.23
GO:0006614	57.165
GO:0006633	454.296
GO:0006662	111.204
GO:0006665	22.39
GO:0006694	13.073
GO:0006730	281.881
GO:0006741	74.61
GO:0006744	11.767
GO:0006750	4.3
GO:0006777	80.536
GO:0006782	45.771
GO:0006783	12.545
GO:0006817	152.962
GO:0006821	40.333
GO:0006826	101.398
GO:0006835	42.243
GO:0006836	38.037
GO:0006839	1.934
GO:0006855	302.718
GO:0006879	77.773
GO:0006885	13.057
GO:0006887	0.637
GO:0006888	0.519
GO:0006898	0.057
GO:0006914	0.058
GO:0006915	9.515
GO:0006954	0.632
GO:0006970	44.963
GO:0007005	9.48
GO:0007015	0.011
GO:0007018	0.018
GO:0007031	0.462
GO:0007050	0.115
GO:0007059	135.501
GO:0007062	15.817
GO:0007067	0.161
GO:0007093	0.654
GO:0007169	1.747
GO:0007178	0.125
GO:0007205	25.021
GO:0007264	16.683
GO:0007268	0.151
GO:0007275	15.484
GO:0007283	0.499
GO:0007399	1.05
GO:0007411	0.382
GO:0007596	0.452
GO:0008017	7.124
GO:0008061	0.066
GO:0008076	12.416
GO:0008083	0.315
GO:0008134	84.632
GO:0008137	214.271
GO:0008138	5.674
GO:0008146	0.176
GO:0008169	62.36
GO:0008198	9.97
GO:0008199	74.51
GO:0008216	49.8
GO:0008242	4.628
GO:0008253	25.392
GO:0008270	1528.214
GO:0008283	4.052
GO:0008284	3.15
GO:0008285	0.324
GO:0008312	26.371
GO:0008360	734.099
GO:0008375	60.412
GO:0008378	3.982
GO:0008408	245.463
GO:0008409	39.378
GO:0008417	24.949
GO:0008452	15.824
GO:0008484	177.873
GO:0008508	29.143
GO:0008519	22.104
GO:0008531	22.02
GO:0008615	108.142
GO:0008616	173.929
GO:0008658	144.146
GO:0008677	35.995
GO:0008703	54.275
GO:0008705	44.067
GO:0008716	66.812
GO:0008745	140.025
GO:0008762	57.556
GO:0008766	32.191
GO:0008784	71.848
GO:0008810	56.94
GO:0008831	28.027
GO:0008854	0.904
GO:0008855	47.441
GO:0008889	23.042
GO:0008897	31.486
GO:0008933	21.291
GO:0008963	75.006
GO:0008982	77.987
GO:0008984	3.745
GO:0009002	66.897
GO:0009007	44.73
GO:0009035	8.165
GO:0009060	1.163
GO:0009062	24.82
GO:0009065	122.057
GO:0009082	504.817
GO:0009088	133.286
GO:0009089	363.551
GO:0009095	60.005
GO:0009102	57.341
GO:0009103	259.561
GO:0009113	112.936
GO:0009177	101.616
GO:0009186	34.33
GO:0009211	113.677
GO:0009221	124.301
GO:0009226	321.731
GO:0009228	340.94
GO:0009229	225.18
GO:0009231	144.851
GO:0009234	54.355
GO:0009236	278.298
GO:0009244	36.918
GO:0009245	137.108
GO:0009249	90.972
GO:0009252	692.446
GO:0009253	162.115
GO:0009254	28.115
GO:0009267	48.287
GO:0009276	101.242
GO:0009279	500.211
GO:0009288	57.88
GO:0009294	33.424
GO:0009295	56.116
GO:0009307	47.251
GO:0009318	39.889
GO:0009331	58.031
GO:0009341	57.62
GO:0009360	65.467
GO:0009378	121.338
GO:0009401	169.769
GO:0009403	9.096
GO:0009405	58.275
GO:0009408	78.71
GO:0009409	54.466
GO:0009411	2.109
GO:0009423	299.387
GO:0009424	6.988
GO:0009425	40.193
GO:0009432	250.179
GO:0009435	173.982
GO:0009452	0.154
GO:0009506	15.851
GO:0009507	205.153
GO:0009535	10.478
GO:0009570	91.597
GO:0009579	16.531
GO:0009581	0.147
GO:0009582	0.147
GO:0009611	3.053
GO:0009733	0.488
GO:0009743	22.241
GO:0009791	21.306
GO:0009792	0.595
GO:0009847	61.956
GO:0009886	1.066
GO:0009887	11.648
GO:0009897	0.087
GO:0009941	46.58
GO:0009975	0.141
GO:0009982	280.056
GO:0009986	99.222
GO:0010008	0.313
GO:0010038	42.432
GO:0010181	342.004
GO:0010639	0.934
GO:0010951	12.522
GO:0015035	109.866
GO:0015074	477.182
GO:0015095	27.099
GO:0015098	17.799
GO:0015116	35.795
GO:0015159	19.644
GO:0015171	121.448
GO:0015197	49.767
GO:0015205	1.036
GO:0015232	2.133
GO:0015238	314.049
GO:0015288	13.006
GO:0015343	20.146
GO:0015450	83.501
GO:0015605	19.888
GO:0015627	23.141
GO:0015628	23.141
GO:0015629	0.178
GO:0015662	84.894
GO:0015689	17.799
GO:0015693	27.099
GO:0015721	29.143
GO:0015749	75.127
GO:0015774	19.644
GO:0015804	52.165
GO:0015833	80.331
GO:0015846	25.449
GO:0015850	4.966
GO:0015851	1.036
GO:0015886	2.133
GO:0015926	93.91
GO:0015934	231.985
GO:0015935	232.334
GO:0015937	225.67
GO:0015940	67.031
GO:0015948	4.356
GO:0015969	46.491
GO:0015979	44.735
GO:0015991	289.737
GO:0015995	49.237
GO:0016023	11.541
GO:0016049	4.2
GO:0016055	0.197
GO:0016075	58.927
GO:0016117	4.341
GO:0016125	12.56
GO:0016151	25.902
GO:0016197	1.468
GO:0016226	87.795
GO:0016229	11.877
GO:0016337	0.147
GO:0016411	16.935
GO:0016413	63.684
GO:0016423	132.978
GO:0016426	91.277
GO:0016435	73.532
GO:0016539	8.363
GO:0016567	1.013
GO:0016573	2.066
GO:0016592	0.011
GO:0016604	1.109
GO:0016615	64.354
GO:0016620	295.408
GO:0016624	15.397
GO:0016625	63.05
GO:0016634	29.122
GO:0016635	87.428
GO:0016639	147.132
GO:0016661	34.714
GO:0016671	36.604
GO:0016706	0.01
GO:0016726	83.66
GO:0016728	52.539
GO:0016730	57.86
GO:0016742	239.353
GO:0016743	165.65
GO:0016744	251.964
GO:0016774	321.123
GO:0016776	287.769
GO:0016790	29.282
GO:0016805	95.892
GO:0016812	97.546
GO:0016813	49.921
GO:0016832	199.682
GO:0016833	62.578
GO:0016837	18.513
GO:0016841	108.141
GO:0016846	48.179
GO:0016849	58.551
GO:0016857	263.082
GO:0016861	475.036
GO:0016863	2.262
GO:0016868	257.809
GO:0016872	5.919
GO:0016878	62.468
GO:0016882	83.551
GO:0016896	86.57
GO:0016901	4.922
GO:0016987	672.769
GO:0016998	34.76
GO:0017000	2.88
GO:0017004	29.913
GO:0017013	20.603
GO:0017148	27.347
GO:0017150	52.846
GO:0017153	24.669
GO:0018106	43.881
GO:0018108	0.827
GO:0018580	50.354
GO:0018958	7.875
GO:0019012	0.241
GO:0019028	15.836
GO:0019048	0.792
GO:0019104	117.495
GO:0019201	257.634
GO:0019202	137.837
GO:0019206	86.841
GO:0019213	96.13
GO:0019216	2.719
GO:0019221	0.049
GO:0019288	286.479
GO:0019395	24.867
GO:0019430	52.457
GO:0019441	7.21
GO:0019835	10.182
GO:0019843	1325.458
GO:0019882	0.025
GO:0019887	0.143
GO:0019898	2.981
GO:0019901	0.491
GO:0019904	1.349
GO:0020012	0.064
GO:0020037	83.87
GO:0022412	2.272
GO:0022618	24.089
GO:0030036	0.078
GO:0030071	0.094
