data/test/go_02_22_2016.obo: fmt(1.2) rel(2016-02-20) 44,127 GO Terms
data/test/goslim_metagenomics_02_22_2016.obo: fmt(1.2) rel(None) 161 GO Terms
GO:0006596	GO:0006807;GO:0009058
GO:0000287	GO:0046872
GO:0018106	GO:0019538;GO:0016310
GO:0018108	GO:0019538;GO:0016310
GO:0051274	GO:0005975;GO:0009058
GO:0017013	GO:0019538
GO:0009506	GO:0005575
GO:0043711	GO:0016043
GO:0008508	GO:0005215
GO:0072655	GO:0008150
GO:0042393	GO:0003674
GO:0046677	GO:0008150
GO:0005739	GO:0005739
GO:0030120	GO:0005575
GO:0006914	GO:0008150
GO:0006915	GO:0008150
GO:1903046	GO:0008150
GO:0015774	GO:0006810
GO:0043410	GO:0008150
GO:0009579	GO:0009579
GO:0009570	GO:0005575
GO:0071805	GO:0006811
GO:0003951	GO:0016301
GO:0003950	GO:0016757
GO:0042803	GO:0003674
GO:0019288	GO:0044281;GO:0006629;GO:0009058
GO:0008061	GO:0003674
GO:0016863	GO:0016853
GO:0008216	GO:0006807
GO:0032321	GO:0008150
GO:0003747	GO:0003676
GO:0003743	GO:0003676
GO:0004003	GO:0016887;GO:0004386
GO:0004000	GO:0016810
GO:0007268	GO:0007154
GO:0007264	GO:0007165
GO:0016055	GO:0007165
GO:0016050	GO:0016043
GO:0016878	GO:0016874
GO:0016872	GO:0016853
GO:0019031	GO:0005575
GO:0004702	GO:0004672
GO:0018024	GO:0016740
GO:0016790	GO:0016788
GO:0009289	GO:0009289
GO:0009288	GO:0005575
GO:0032775	GO:0006259
GO:0005737	GO:0005737
GO:0005730	GO:0005575
GO:0050308	GO:0016791
GO:0019202	GO:0016301
GO:0019201	GO:0016301
GO:0019206	GO:0016301
GO:0007156	GO:0008150
GO:1901642	GO:0006810
GO:0006278	GO:0006259;GO:0009058
GO:0030288	GO:0042597
GO:0061077	GO:0008150
GO:1990077	GO:0005575
GO:0031625	GO:0003674
GO:0009743	GO:0008150
GO:0045493	GO:0009056;GO:0005975
GO:0042158	GO:0009058;GO:0019538
GO:0006821	GO:0006811
GO:0003857	GO:0016491
GO:0004089	GO:0016829
GO:0000502	GO:0005575
GO:0005840	GO:0005840
GO:0051998	GO:0016740
GO:0006013	GO:0044281;GO:0005975
GO:0006012	GO:0044281;GO:0005975
GO:0006011	GO:0006807
GO:0006014	GO:0044281;GO:0005975
GO:0001558	GO:0008150
GO:0015605	GO:0005215
GO:0008312	GO:0003676
GO:0005783	GO:0005783
GO:0005789	GO:0016020
GO:0006783	GO:0051186;GO:0006807;GO:0009058
GO:0006782	GO:0051186;GO:0006807;GO:0009058
GO:0004789	GO:0016765
GO:0004784	GO:0016491
GO:0043173	GO:0009058;GO:0009117
GO:0004129	GO:0005215;GO:0016491
