# Gene Family	humann2_Abundance
UNGROUPED	146336.245
GO:0000156	4.435
GO:0000160	1112.392
GO:0000166	11436.73
GO:0000746	46.56
GO:0000902	1.847
GO:0000988	673.784
GO:0002376	23.701
GO:0003674	4087.644
GO:0003676	3028.702
GO:0003924	490.164
GO:0004386	273.263
GO:0004518	708.243
GO:0004672	626.495
GO:0004812	234.254
GO:0004872	626.485
GO:0005102	1.53
GO:0005215	1762.068
GO:0005575	4211.617
GO:0005618	101.242
GO:0005634	86.827
GO:0005694	0.027
GO:0005727	121.825
GO:0005737	9919.697
GO:0005739	193.037
GO:0005773	2.207
GO:0005783	13.859
GO:0005794	11.581
GO:0005840	1635.336
GO:0005856	0.178
GO:0005886	2956.148
GO:0005975	2612.697
GO:0006091	943.064
GO:0006259	2760.367
GO:0006351	0.062
GO:0006412	3280.152
GO:0006520	3953.638
GO:0006629	1380.837
GO:0006790	1012.321
GO:0006807	3915.478
GO:0006810	1101.046
GO:0006811	1276.261
GO:0006950	954.866
GO:0007154	316.891
GO:0007165	45.33
GO:0008092	7.383
GO:0008134	84.632
GO:0008150	2784.3
GO:0008233	1182.31
GO:0009056	1728.292
GO:0009058	12048.505
GO:0009117	2472.344
GO:0009295	56.116
GO:0009306	23.141
GO:0009404	9.096
GO:0009405	58.275
GO:0009579	16.531
GO:0015979	44.735
GO:0016020	76.737
GO:0016032	0.799
GO:0016043	1246.564
GO:0016049	4.2
GO:0016070	1855.223
GO:0016298	3.608
GO:0016301	937.268
GO:0016310	1372.024
GO:0016407	65.75
GO:0016491	2051.329
GO:0016740	2598.211
GO:0016746	212.455
GO:0016757	319.006
GO:0016765	161.484
GO:0016787	280.954
GO:0016788	549.799
GO:0016791	148.298
GO:0016798	650.921
GO:0016810	428.241
GO:0016829	575.003
GO:0016853	1916.331
GO:0016874	675.532
GO:0016887	965.05
GO:0019012	0.241
GO:0019538	672.049
GO:0019867	502.152
GO:0022900	103.167
GO:0030031	32.495
GO:0030234	31.696
GO:0031012	0.599
GO:0031982	81.097
GO:0032196	300.705
GO:0034061	290.677
GO:0034062	233.775
GO:0042575	65.467
GO:0042592	306.48
GO:0042597	130.174
GO:0043190	271.652
GO:0043934	174.713
GO:0044281	4445.202
GO:0045333	5.519
GO:0046034	1002.531
GO:0046872	4116.705
GO:0048037	2930.313
GO:0048870	107.996
GO:0051082	203.184
GO:0051186	2456.361
GO:0051301	864.539
GO:0055114	215.51
GO:0070469	2.045
GO:0071554	36.75
GO:0071941	56.684
